"variable_name","variable_type","variable_label"
"d40a","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age"
"d40a_BR","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age"
"d40b","haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear all border control a"
"d40b_BR","haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear all border control a"
"d41","haven_labelled, vctrs_vctr, double","DAP costs to comply with all import requirements (% of value of goods imported)"
"d41_BR","haven_labelled, vctrs_vctr, double","DAP costs to comply with all import requirements (% of value of goods imported)"
"d412","haven_labelled, vctrs_vctr, double","Costs to Comply with all Import Requirements (% of value of goods imported)"
"d412b","haven_labelled, vctrs_vctr, double","Most Frequently Used Incoterm When Importing Directly"
"d15","haven_labelled, vctrs_vctr, double","Imports Longest Days - Customs"
"d15a","haven_labelled, vctrs_vctr, double","In Clearing Imports Through Customs,Informal Gift/Payment Expected Or Requested?"
"d16","haven_labelled, vctrs_vctr, double","When You Receive Your Most Key Input, How Many Days Of Stock Is Available?"
"d17","haven_labelled, vctrs_vctr, double","Av. Number Of Days Of Inventory On Hand After Receving Sales Item"
"d30a","haven_labelled, vctrs_vctr, double","How Much Of An Obstacle: Transport?"
"d30b","haven_labelled, vctrs_vctr, double","How Much Of An Obstacle: Customs And Trade Regulations?"
"o1","haven_labelled, vctrs_vctr, double","In the last three years, establishment had any commercial dispute?"
"o1_BR","haven_labelled, vctrs_vctr, double","In the last three years, establishment had any commercial dispute?"
"o2","haven_labelled, vctrs_vctr, double","Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?"
"o2_BR","haven_labelled, vctrs_vctr, double","Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?"
"o3a","haven_labelled, vctrs_vctr, double","Reliable alternative to courts for resolving commercial disputes: Arbitration?"
"o3a_BR","haven_labelled, vctrs_vctr, double","Reliable alternative to courts for resolving commercial disputes: Arbitration?"
"o3a2","haven_labelled, vctrs_vctr, double","Reliable mechanism to  resolve commercial disputes: Arbitration?"
"o3b","haven_labelled, vctrs_vctr, double","Reliable alternative to courts for resolving commercial disputes:Mediation etc.?"
"o3b_BR","haven_labelled, vctrs_vctr, double","Reliable alternative to courts for resolving commercial disputes:Mediation etc.?"
"o3b2","haven_labelled, vctrs_vctr, double","Reliable mechanism to resolve commercial disputes:Mediation?"
"e1","haven_labelled, vctrs_vctr, double","In Last Fy, Main Market For Establishment'S Main Product"
"e1_BR","haven_labelled, vctrs_vctr, double","In Last FY, Main Market For Establishment'S Main Product. Asked of services esta"
"e1_ESBR","haven_labelled, vctrs_vctr, double","In Last FY, Main Market For Establishment'S Main Product. COMBINED VERSION Manuf"
"e2","haven_labelled, vctrs_vctr, double","How Many Competitors Did This EstablishmentÓ“ Main Product/Product Line Face?"
"e2b","haven_labelled, vctrs_vctr, double","Competitors For The Main Product/Service In The Main Market"
"e2b_BR","numeric","Competitors For The Main Product/Service In The Main Market. Asked of services e"
"e2b_ESBR","numeric","Competitors For The Main Product/Service In The Main Market. COMBINED VERSION Ma"
"e31a","haven_labelled, vctrs_vctr, double","Market share of largest competitor in the last fiscal year"
"e31a_BR","haven_labelled, vctrs_vctr, double","Market share of largest competitor in the last fiscal year"
"e31b","haven_labelled, vctrs_vctr, double","Market share of largest competitor in the last fiscal year"
"e31b_BR","haven_labelled, vctrs_vctr, double","Market share of largest competitor in the last fiscal year"
"e312","haven_labelled, vctrs_vctr, double","Which Best Descibes Establishment's Main Market"
"e3","haven_labelled, vctrs_vctr, double","No. Sales Of Main Product Increase/Remain The Same/Decrease In Last Fiscal Yr?"
"e4","haven_labelled, vctrs_vctr, double","Did Price Of Main Product Increase/Remain The Same/Decrease In Last Fiscal Yr?"
"e6","haven_labelled, vctrs_vctr, double","Do You Use Technology Licensed From A Foreign-Owned Company?"
"e6_BR","haven_labelled, vctrs_vctr, double","Do You Use Technology Licensed From A Foreign-Owned Company? Asked of services e"
"e6_ESBR","haven_labelled, vctrs_vctr, double","Do You Use Technology Licensed From A Foreign-Owned Company?  COMBINED VERSION M"
"e11","haven_labelled, vctrs_vctr, double","Does This Establishment Compete Against Unregistered Or Informal Firms?"
"e32","haven_labelled, vctrs_vctr, double","Change in competition in the last year?"
"e32_BR","haven_labelled, vctrs_vctr, double","Change in competition in the last year?"
"e33","haven_labelled, vctrs_vctr, double","Establishment can increase prices more than competitors without losing customers"
"e33_BR","haven_labelled, vctrs_vctr, double","Establishment can increase prices more than competitors without losing customers"
"e34","haven_labelled, vctrs_vctr, double","SOEs operating in the establishment's main market?"
"e34_BR","haven_labelled, vctrs_vctr, double","SOEs operating in the establishment's main market?"
"e35","haven_labelled, vctrs_vctr, double","How SOE affects ability to grow and expand?"
"e35_BR","haven_labelled, vctrs_vctr, double","How SOE affects ability to grow and expand?"
"e30","haven_labelled, vctrs_vctr, double","How Much Of An Obstacle: Practices Of Competitors In Informal Sector?"
"f1","haven_labelled, vctrs_vctr, double","In Last Fy, What Was The Capacity Utilization (%) Of This Establishment?"
"f2","haven_labelled, vctrs_vctr, double","Number Of Hours Per Week Operated By The Establishment In Last Fiscal Year"
"g1a","haven_labelled, vctrs_vctr, double","Percentage Of The Land Occupied: Owned By This Establishment"
"g1b","haven_labelled, vctrs_vctr, double","Percentage Of The Land Occupied: Rented Or Leased By This Establishment"
"g1c","haven_labelled, vctrs_vctr, double","Percentage Of The Land Occupied: Other"
"g2","haven_labelled, vctrs_vctr, double","Applic. To Obtain A Construction-Related Permit Submitted Over The Last 2 Years"
"g3","haven_labelled, vctrs_vctr, double","How Many Days Did It Take For You To Obtain A Construction-Related Permit?"
"g4","haven_labelled, vctrs_vctr, double","Informal Gift/Payment Expected Or Requested For A Construction-Related Permit"
"g31","haven_labelled, vctrs_vctr, double","In last 2 years, establishment applied for occupancy permit"
"g31_BR","haven_labelled, vctrs_vctr, double","In last 2 years, establishment applied for occupancy permit"
"g32","haven_labelled, vctrs_vctr, double","Wait for occupancy permit"
"g32_BR","haven_labelled, vctrs_vctr, double","Wait for occupancy permit"
"g33","haven_labelled, vctrs_vctr, double","Cost of occupancy permit"
"g33_BR","haven_labelled, vctrs_vctr, double","Cost of occupancy permit"
"g34","haven_labelled, vctrs_vctr, double","Land disputes and the sale of property: Deeds, Title certificates etc recognized"
"g5","haven_labelled, vctrs_vctr, double","Total Of Sale'S Surface"
